company,plan_accepted,region,first_name,middle_name,last_name,degree,office_name,url,street_address,city,state,zip,phone,fax,speciality,npi.npi_id,npi.url,npi.search_url,npi.first_name,npi.middle_name,npi.last_name,npi.type,npi.street_address,npi.city,npi.state,npi.zip,npi.phone,npi.fax,npi.specialty,npi.full_address,accepting_new_patients
BCBS,Blue Card PPO Basic,PA,Jessica,C,Hildebrand,,Novacare Rehabilitation,http://provider.bcbs.com/provider/id/1235375/name/Jessica-C-Hildebrand-PT,3109 Green Garden Rd,Aliquippa,PA,15001,(724) 378-8228,,Physical Therapist,1265785133,https://npiregistry.cms.hhs.gov/registry/provider-view/1265785133,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Jessica&state=PA&last_name=Hildebrand&country_code=US,JESSICA,,HILDEBRAND,Individual,3109 GREEN GARDEN RD,ALIQUIPPA,PA,15001-1069,724-378-8228,,Physical Therapist,"3109 GREEN GARDEN RD, ALIQUIPPA",TRUE
BCBS1,Blue Card PPO Basic1,PA1,Kaitlin1,M1,Blakeley1,,Novacare Rehabilitation1,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT1,3109 Green Garden Rd1,Aliquippa1,PA1,150011,(724) 378-82281,,Physical Therapist1,16495117671,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117671,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US1,KAITLIN1,,BLAKELEY1,Individual1,2961 W LIBERTY AVE1,PITTSBURGH1,PA1,15216-25461,412-572-31931,,Physical Therapist1,"2961 W LIBERTY AVE, PITTSBURGH1",FALSE1
BCBS2,Blue Card PPO Basic2,PA2,Kaitlin2,M2,Blakeley2,,Novacare Rehabilitation2,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT2,3109 Green Garden Rd2,Aliquippa2,PA2,150012,(724) 378-82282,,Physical Therapist2,16495117672,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117672,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US2,KAITLIN2,,BLAKELEY2,Individual2,2961 W LIBERTY AVE2,PITTSBURGH2,PA2,15216-25462,412-572-31932,,Physical Therapist2,"2961 W LIBERTY AVE, PITTSBURGH2",FALSE2
BCBS3,Blue Card PPO Basic3,PA3,Kaitlin3,M3,Blakeley3,,Novacare Rehabilitation3,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT3,3110 Green Garden Rd1,Aliquippa3,PA3,150013,(724) 378-82283,,Physical Therapist3,16495117673,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117671,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US3,KAITLIN3,,BLAKELEY3,Individual3,2962 W LIBERTY AVE1,PITTSBURGH3,PA3,15216-25463,412-572-31933,,Physical Therapist3,"2962 W LIBERTY AVE, PITTSBURGH1",FALSE3
BCBS4,Blue Card PPO Basic4,PA4,Kaitlin4,M4,Blakeley4,,Novacare Rehabilitation4,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT4,3110 Green Garden Rd2,Aliquippa4,PA4,150014,(724) 378-82284,,Physical Therapist4,16495117674,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117672,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US4,KAITLIN4,,BLAKELEY4,Individual4,2962 W LIBERTY AVE2,PITTSBURGH4,PA4,15216-25464,412-572-31934,,Physical Therapist4,"2962 W LIBERTY AVE, PITTSBURGH2",FALSE4
BCBS5,Blue Card PPO Basic5,PA5,Kaitlin5,M5,Blakeley5,,Novacare Rehabilitation5,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT5,3111 Green Garden Rd1,Aliquippa5,PA5,150015,(724) 378-82285,,Physical Therapist5,16495117675,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117671,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US5,KAITLIN5,,BLAKELEY5,Individual5,2963 W LIBERTY AVE1,PITTSBURGH5,PA5,15216-25465,412-572-31935,,Physical Therapist5,"2963 W LIBERTY AVE, PITTSBURGH1",FALSE5
BCBS6,Blue Card PPO Basic6,PA6,Kaitlin6,M6,Blakeley6,,Novacare Rehabilitation6,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT6,3111 Green Garden Rd2,Aliquippa6,PA6,150016,(724) 378-82286,,Physical Therapist6,16495117676,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117672,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US6,KAITLIN6,,BLAKELEY6,Individual6,2963 W LIBERTY AVE2,PITTSBURGH6,PA6,15216-25466,412-572-31936,,Physical Therapist6,"2963 W LIBERTY AVE, PITTSBURGH2",FALSE6
BCBS7,Blue Card PPO Basic7,PA7,Kaitlin7,M7,Blakeley7,,Novacare Rehabilitation7,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT7,3112 Green Garden Rd1,Aliquippa7,PA7,150017,(724) 378-82287,,Physical Therapist7,16495117677,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117671,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US7,KAITLIN7,,BLAKELEY7,Individual7,2964 W LIBERTY AVE1,PITTSBURGH7,PA7,15216-25467,412-572-31937,,Physical Therapist7,"2964 W LIBERTY AVE, PITTSBURGH1",FALSE7
BCBS8,Blue Card PPO Basic8,PA8,Kaitlin8,M8,Blakeley8,,Novacare Rehabilitation8,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT8,3112 Green Garden Rd2,Aliquippa8,PA8,150018,(724) 378-82288,,Physical Therapist8,16495117678,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117672,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US8,KAITLIN8,,BLAKELEY8,Individual8,2964 W LIBERTY AVE2,PITTSBURGH8,PA8,15216-25468,412-572-31938,,Physical Therapist8,"2964 W LIBERTY AVE, PITTSBURGH2",FALSE8
BCBS9,Blue Card PPO Basic9,PA9,Kaitlin9,M9,Blakeley9,,Novacare Rehabilitation9,http://provider.bcbs.com/provider/id/1310837/name/Kaitlin-M-Blakeley-PT9,3113 Green Garden Rd1,Aliquippa9,PA9,150019,(724) 378-82289,,Physical Therapist9,16495117679,https://npiregistry.cms.hhs.gov/registry/provider-view/16495117671,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Kaitlin&state=PA&last_name=Blakeley&country_code=US9,KAITLIN9,,BLAKELEY9,Individual9,2965 W LIBERTY AVE1,PITTSBURGH9,PA9,15216-25469,412-572-31939,,Physical Therapist9,"2965 W LIBERTY AVE, PITTSBURGH1",FALSE9
