company,plan_accepted,region,first_name,middle_name,last_name,degree,office_name,url,street_address,city,state,zip,phone,fax,speciality,npi.npi_id,npi.url,npi.search_url,npi.first_name,npi.middle_name,npi.last_name,npi.type,npi.street_address,npi.city,npi.state,npi.zip,npi.phone,npi.fax,npi.specialty,npi.full_address,accepting_new_patients
BCBS,Blue Card PPO Basic,outputfile,Nitish,      ,Narang,,6,http://provider.bcbs.com/provider/id/1235375/name/Jessica-C-Hildebrand-PT,Meerut,Aliquippa,PA,15001,(724) 378-8228,,Physical Therapist,,https://npiregistry.cms.hhs.gov/registry/provider-view/1265785133,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Jessica&state=PA&last_name=Hildebrand&country_code=US,JESSICA,,HILDEBRAND,Individual,3109 GREEN GARDEN RD,ALIQUIPPA,PA,15001-1069,724-378-8228,,Physical Therapist,"3109 GREEN GARDEN RD, ALIQUIPPA",TRUE
BCBS,Blue Card PPO Basic,PA,Nitish,B,Narang,,7,http://provider.bcbs.com/provider/id/1235375/name/Jessica-C-Hildebrand-PT,Meerut - 1,Aliquippa,PA,15001,(724) 378-8228,,Physical Therapist,,https://npiregistry.cms.hhs.gov/registry/provider-view/1265785133,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Jessica&state=PA&last_name=Hildebrand&country_code=US,JESSICA,,HILDEBRAND,Individual,3109 GREEN GARDEN RD,ALIQUIPPA,PA,15001-1069,724-378-8228,,Physical Therapist,"3109 GREEN GARDEN RD, ALIQUIPPA",TRUE
UnitedHealthcare,Choice Plus,PR,Norman,D,Miller,MD,,https://connect.werally.com/provider/0000844587-norman-miller,Baldorioty 177,Moca,PR,676,8085435950,,Gastroenterology,,https://npiregistry.cms.hhs.gov/registry/provider-view/1235136367,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=1235136367,NORMAN,,MILLER,Individual,"62 BROWN STREET, SUITE 503",HAVENHILL,MA,1830,978-521-3681,978-521-3682,Internal Medicine Gastroenterology,"62 BROWN STREET, SUITE 503, HAVENHILL",A
UnitedHealthcare1,Choice Plus1,PR1,Kazuma1,D1,Nakagawa1,MD1,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa1,Baldorioty 1771,Moca1,PR1,6761,80854359501,,Hospitalist1,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA1,,NAKAGAWA1,Individual1,"1301 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU1,HI1,96813-24021,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care1,"1301 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A1
UnitedHealthcare2,Choice Plus2,PR2,Kazuma1,D2,Nakagawa2,MD2,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa2,Baldorioty 1771,Moca2,PR2,6761,80854359502,,Hospitalist2,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA2,,NAKAGAWA2,Individual2,"1302 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU2,HI2,96813-24022,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care2,"1302 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A2
UnitedHealthcare3,Choice Plus3,PR3,Kazuma1,D3,Nakagawa3,MD3,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa3,Baldorioty 1773,Moca3,PR3,6761,80854359503,,Hospitalist3,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA3,,NAKAGAWA3,Individual3,"1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU3,HI3,96813-24023,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care3,"1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A3
UnitedHealthcare4,Choice Plus4,PR4,Kazuma4,D4,Nakagawa4,MD4,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa4,Baldorioty 1774,Moca4,PR4,6761,80854359504,,Hospitalist4,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA4,,NAKAGAWA4,Individual4,"1304 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU4,HI4,96813-24024,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care4,"1304 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A4
UnitedHealthcare5,Choice Plus5,PR5,Kazuma5,D5,Nakagawa5,MD5,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa5,Baldorioty 1775,Moca5,PR5,6761,80854359505,,Hospitalist5,18816745395,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA5,,NAKAGAWA5,Individual5,"1305 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU5,HI5,96813-24025,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care5,"1305 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A5
UnitedHealthcare6,Choice Plus6,PR6,Kazuma6,D6,Nakagawa6,MD6,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa6,Baldorioty 1776,Moca6,PR6,6761,80854359506,,Hospitalist6,18816745396,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA6,,NAKAGAWA6,Individual6,"1306 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU6,HI6,96813-24026,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care6,"1306 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A6
UnitedHealthcare7,Choice Plus7,PR7,Kazuma7,D7,Nakagawa7,MD7,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa7,Baldorioty 1777,Moca7,PR7,6761,80854359507,,Hospitalist7,,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA7,,NAKAGAWA7,Individual7,"1307 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51",HONOLULU7,HI7,96813-24027,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care7,"1307 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU",A7
