UnitedHealthcare500,Choice Plus500,PR500,Kazuma500,D500,Nakagawa500,MD500,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa500,Baldorioty 2270,Moca500,PR500,6761,80854360000,,Hospitalist500,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA500,,NAKAGAWA500,Individual500,1800 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU500,HI500,96813-24520,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care500,1800 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A500
UnitedHealthcare501,Choice Plus501,PR501,Kazuma501,D501,Nakagawa501,MD501,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa501,Baldorioty 2271,Moca501,PR501,6761,80854360001,,Hospitalist501,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA501,,NAKAGAWA501,Individual501,1801 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU501,HI501,96813-24521,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care501,1801 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A501
UnitedHealthcare502,Choice Plus502,PR502,Kazuma502,D502,Nakagawa502,MD502,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa502,Baldorioty 2272,Moca502,PR502,6761,80854360002,,Hospitalist502,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA502,,NAKAGAWA502,Individual502,1802 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU502,HI502,96813-24522,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care502,1802 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A502
UnitedHealthcare503,Choice Plus503,PR503,Kazuma503,D503,Nakagawa503,MD503,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa503,Baldorioty 2273,Moca503,PR503,6761,80854360003,,Hospitalist503,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA503,,NAKAGAWA503,Individual503,1803 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU503,HI503,96813-24523,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care503,1803 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A503
UnitedHealthcare504,Choice Plus504,PR504,Kazuma504,D504,Nakagawa504,MD504,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa504,Baldorioty 2274,Moca504,PR504,6761,80854360004,,Hospitalist504,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA504,,NAKAGAWA504,Individual504,1804 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU504,HI504,96813-24524,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care504,1804 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A504
UnitedHealthcare505,Choice Plus505,PR505,Kazuma505,D505,Nakagawa505,MD505,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa505,Baldorioty 2275,Moca505,PR505,6761,80854360005,,Hospitalist505,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA505,,NAKAGAWA505,Individual505,1805 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU505,HI505,96813-24525,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care505,1805 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A505
UnitedHealthcare506,Choice Plus506,PR506,Kazuma506,D506,Nakagawa506,MD506,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa506,Baldorioty 2276,Moca506,PR506,6761,80854360006,,Hospitalist506,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA506,,NAKAGAWA506,Individual506,1806 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU506,HI506,96813-24526,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care506,1806 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A506
UnitedHealthcare3,Choice Plus3,PR3,Kazuma3,D3,Nakagawa3,MD3,,https://connect.werally.com/provider/0003098168-kazuma-nakagawa3,Baldorioty 1773,Moca3,PR3,6761,80854360007,,Hospitalist3,18816745393,https://npiregistry.cms.hhs.gov/registry/provider-view/18816745391,https://npiregistry.cms.hhs.gov/registry/search-results-table?number=18816745391,KAZUMA3,,NAKAGAWA3,Individual3,1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET51,HONOLULU3,HI3,96813-24023,808-691-46171,808-691-40011,Psychiatry & Neurology Neurocritical Care3,1303 PUNCHBOWL ST NEUROSCIENCE INSTITUTE, QET5, HONOLULU,A3
BCBS,Blue Card PPO Basic,outputfile,Nitish,      ,Narang,,6,http://provider.bcbs.com/provider/id/1235375/name/Jessica-C-Hildebrand-PT,Meerut,Aliquippa,PA,15001,(724) 378-8228,,Physical Therapist,,https://npiregistry.cms.hhs.gov/registry/provider-view/1265785133,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Jessica&state=PA&last_name=Hildebrand&country_code=US,JESSICA,,HILDEBRAND,Individual,3109 GREEN GARDEN RD,ALIQUIPPA,PA,15001-1069,724-378-8228,,Physical Therapist,3109 GREEN GARDEN RD, ALIQUIPPA,TRUE
BCBS,Blue Card PPO Basic,PA,Nitish,B,Narang,,7,http://provider.bcbs.com/provider/id/1235375/name/Jessica-C-Hildebrand-PT,Meerut - 1,Aliquippa,PA,15001,(724) 378-8228,,Physical Therapist,,https://npiregistry.cms.hhs.gov/registry/provider-view/1265785133,https://npiregistry.cms.hhs.gov/registry/search-results-table?first_name=Jessica&state=PA&last_name=Hildebrand&country_code=US,JESSICA,,HILDEBRAND,Individual,3109 GREEN GARDEN RD,ALIQUIPPA,PA,15001-1069,724-378-8228,,Physical Therapist,3109 GREEN GARDEN RD, ALIQUIPPA,TRUE
